"","a_unit_id","year","n_pell_totu","pct_pell_fstu","avg_pell_ft_fst","is_on","os_on","is_off","os_off","n_tot_uenroll","n_tot_fstu","pct_AIoAN","pct_AoNHoPI","pct_Asian","pct_NHoPI","pct_BoAA","pct_HoLAT","pct_wht","pct_unkn","pct_multi","pct_fem","incr.in.pell.represent.1yr","pct.incr_pell.represent.1yr","incr.in.pell.represent.2yr","pct.incr.pell.represent.2yr","incr.is.off.1yr","pct.incr.is.off.1yr","incr.is.off.2yr","pct.incr.is.off.2yr","incr.is.on.1yr","pct.incr.is.on.1yr","incr.is.on.2yr","pct.incr.is.on.2yr","incr.os.off.1yr","pct.incr.os.off.1yr","incr.os.off.2yr","pct.incr.os.off.2yr","incr.os.on.1yr","pct.incr.os.on.1yr","incr.os.on.2yr","pct.incr.os.on.2yr","incr.retention.1yr","pct.incr.ret.1yr","incr.retention.2yr","pct.incr.ret.2yr","ft_ret_rate"
"24",188641,2013,770,42,4256,39948,39948,39948,39948,1960,535,0,2,2,0,10,7,60,16,2,54,2,5,-1,-2.32558139534884,-2144,-5.09360448541291,-1134,-2.76033299255148,-2144,-5.09360448541291,-1134,-2.76033299255148,-2144,-5.09360448541291,-1134,-2.76033299255148,-2144,-5.09360448541291,-1134,-2.76033299255148,0,0,-31,-42.4657534246575,75
"25",108807,2013,2755,55,4454,29319.5,35379,19154,24474,10885,1700,1,4,4,0,3,51,38,0,3,52,1,1.85185185185185,3,5.76923076923077,1023,5.64227014505543,1514,8.5827664399093,429.5,1.48667358947733,1530.5,5.50757493972435,1023,4.36228732250224,1514,6.59407665505227,834,2.41424229266175,2022.5,6.06328601621873,0,0,-15,-21.4285714285714,72
"26",161688,2013,1526,69,4394,20274,21474,20274,21474,3191,625,0,0,0,0,10,1,84,2,1,67,7,11.2903225806452,5,7.8125,764,3.91594054331112,2181,12.0543856740176,764,3.91594054331112,2181,12.0543856740176,794,3.8394584139265,2241,11.6518483855873,794,3.8394584139265,2241,11.6518483855873,0,0,14,25.4545454545455,51
"27",210669,2013,568,26,4080,52020,52020,49520,49520,2161,604,0,2,2,0,4,6,79,1,4,54,0,0,-8,-23.5294117647059,1870,3.92444910807975,3670,8.00436205016358,1870,3.72881355932203,3670,7.59048603929679,1870,3.92444910807975,3670,8.00436205016358,1870,3.72881355932203,3670,7.59048603929679,0,0,-61,-70.1149425287356,85
"28",154642,2013,1141,50,4061,11154,11154,12200,12200,2852,551,1,1,1,0,6,6,86,0,0,65,-2,-3.84615384615385,-8,-13.7931034482759,1024,9.16249105225483,1560,14.6616541353383,58,0.522710886806056,-186,-1.64021164021164,1024,9.16249105225483,1560,14.6616541353383,58,0.522710886806056,-186,-1.64021164021164,0,0,-2,-3.84615384615385,58
"29",110468,2013,113,76,5298,29986,29986,34117,34117,917,26,0,6,6,0,6,20,40,18,4,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
"30",168591,2013,409,31,4153,44287,44287,44287,44287,1419,378,1,2,2,0,2,3,86,3,2,55,-2,-6.06060606060606,0,0,1975,4.66770656078654,24174.5,120.196395276569,1975,4.66770656078654,3895,9.64299861358685,1975,4.66770656078654,18520,71.8748787208445,1975,4.66770656078654,3895,9.64299861358685,0,0,-50,-61.7283950617284,79
"31",168607,2013,876,64,4399,29319.5,35379,13690,13690,1712,414,1,1,1,0,1,1,96,0,0,55,-2,-3.03030303030303,-4,-5.88235294117647,1270,10.2254428341385,1830,15.4300168634064,429.5,1.48667358947733,1530.5,5.50757493972435,1270,10.2254428341385,510,3.86949924127466,834,2.41424229266175,2022.5,6.06328601621873,0,0,5,8.47457627118644,58
"32",210775,2013,829,32,4030,43250,43250,39260,39260,2371,389,0,1,1,0,14,6,70,6,1,71,-4,-11.1111111111111,-2,-5.88235294117647,1110,2.90956749672346,19147.5,95.2019888129273,1220,2.90268855579348,3268,8.17367815516983,1110,2.90956749672346,13493,52.3654286490472,1220,2.90268855579348,3268,8.17367815516983,0,0,-40,-55.5555555555556,71
"33",238193,2013,1135,60,4789,34889,34889,36511,36511,1862,208,1,4,4,0,17,15,58,0,3,97,-11,-15.4929577464789,-15,-20,1473,4.20400707802957,2536,7.46431199411332,1573,4.72145515668147,2722,8.46208847576709,1473,4.20400707802957,2536,7.46431199411332,1573,4.72145515668147,2722,8.46208847576709,0,0,-10,-14.2857142857143,72
"34",222567,2013,808,23,4267,29319.5,35379,15921,17025,5118,1106,1,5,5,0,10,30,52,2,0,58,-1,-4.16666666666667,-2,-8,645,4.22230950510605,1233,8.39460784313725,429.5,1.48667358947733,1530.5,5.50757493972435,645,3.93772893772894,1233,7.80775075987842,834,2.41424229266175,2022.5,6.06328601621873,0,0,-37,-61.6666666666667,58
"35",222576,2013,4117,63,4083,29319.5,35379,14445,15909,10873,1485,1,3,3,0,5,36,54,1,0,61,3,5,0,0,299,2.11367170931712,928,6.8654287193904,429.5,1.48667358947733,1530.5,5.50757493972435,299,1.91543882126842,952,6.364912749883,834,2.41424229266175,2022.5,6.06328601621873,0,0,7,12.5,56
"36",445027,2013,7245,86,5393,29319.5,35379,21561,21561,10105,874,1,2,1,1,43,6,39,6,3,65,2,2.38095238095238,2,2.38095238095238,-1138,-5.0134367152738,-2001,-8.49248790425261,429.5,1.48667358947733,1530.5,5.50757493972435,-1138,-5.0134367152738,-2001,-8.49248790425261,834,2.41424229266175,2022.5,6.06328601621873,0,0,72,514.285714285714,34
"37",438586,2013,790,71,5115,29319.5,35379,27406,27406,1003,129,0,1,1,0,54,2,3,39,1,60,0,0,-6,-7.79220779220779,441,1.63545336547376,-769,-2.72937000887311,429.5,1.48667358947733,1530.5,5.50757493972435,441,1.63545336547376,-769,-2.72937000887311,834,2.41424229266175,2022.5,6.06328601621873,0,0,33,86.8421052631579,38
"38",164447,2013,766,53,4537,44900,44900,38680,38680,1513,346,0,2,1,0,14,4,64,13,2,69,2,3.92156862745098,0,0,781,2.06074038892847,1966,5.3549054856458,1432,3.29437747308365,3034,7.24693068360961,781,2.06074038892847,1966,5.3549054856458,1432,3.29437747308365,3034,7.24693068360961,0,0,-12,-18.4615384615385,65
"39",188854,2013,518,44,4646,45420,45420,45420,45420,1365,462,1,2,2,0,16,13,47,5,11,67,5,12.8205128205128,5,12.8205128205128,2012,4.63509030593439,3060,7.22379603399433,2012,4.63509030593439,3060,7.22379603399433,2012,4.63509030593439,3060,7.22379603399433,2012,4.63509030593439,3060,7.22379603399433,0,0,-51,-53.6842105263158,83
"40",449339,2013,14311,84,5005,29319.5,35379,14400,14400,43964,6480,1,3,2,1,22,10,56,4,3,40,-2,-2.32558139534884,-5,-5.61797752808989,0,0,400,2.85714285714286,429.5,1.48667358947733,1530.5,5.50757493972435,0,0,400,2.85714285714286,834,2.41424229266175,2022.5,6.06328601621873,0,0,-8,-8.69565217391304,84
"41",109208,2013,8444,55,4407,29319.5,35379,17682,23778,29701,3893,1,11,10,1,11,20,47,4,6,54,-4,-6.77966101694915,-2,-3.50877192982456,0,0,132,0.752136752136752,429.5,1.48667358947733,1530.5,5.50757493972435,0,0,882,3.85220125786164,834,2.41424229266175,2022.5,6.06328601621873,0,0,-16,-22.5352112676056,68
"42",460738,2013,193,67,3402,29319.5,35379,20077,20077,2346,0,1,5,5,1,8,2,42,40,1,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"43",131159,2013,1223,18,4313,56808,56808,56808,56808,7340,1626,0,6,6,0,7,9,49,15,3,61,-1,-5.26315789473684,-6,-25,1455,2.62858381659531,3155,5.88037947551861,1455,2.62858381659531,3155,5.88037947551861,1455,2.62858381659531,3155,5.88037947551861,1455,2.62858381659531,3155,5.88037947551861,0,0,-72,-80,88
"44",164465,2013,391,24,4495,61544,61544,61544,61544,1785,466,0,13,13,0,12,13,42,6,6,50,7,41.1764705882353,4,20,2484,4.20589231290213,41431.5,205.99875699192,2484,4.20589231290213,4646,8.16548912088298,2484,4.20589231290213,35777,138.848139092638,2484,4.20589231290213,4646,8.16548912088298,0,0,-74,-75.5102040816327,98
"45",150066,2013,427,34,3975,39390,39390,35730,35730,2016,442,0,1,1,0,9,2,77,6,0,57,1,3.03030303030303,-1,-2.85714285714286,720,2.05655526992288,1320,3.8360941586748,970,2.52472670484123,2520,6.83482506102522,720,2.05655526992288,1320,3.8360941586748,970,2.52472670484123,2520,6.83482506102522,0,0,-45,-56.9620253164557,73
"46",217633,2013,786,29,3856,37014,37014,38016,38016,2652,505,1,1,1,0,10,3,77,8,0,65,0,0,-6,-17.1428571428571,1060,2.86827578742288,2006,5.57067481255207,1224,3.41994970662196,2679,7.80253385757973,1060,2.86827578742288,2006,5.57067481255207,1224,3.41994970662196,2679,7.80253385757973,0,0,-43,-59.7222222222222,73
"47",168740,2013,592,31,4193,35538,35538,37884,37884,1905,321,0,9,9,0,22,13,32,2,2,47,-4,-11.4285714285714,1,3.33333333333333,1454,3.99121603074389,1906,5.29768191672689,1482,4.35165609584214,3136,9.67841491265971,1454,3.99121603074389,1906,5.29768191672689,1482,4.35165609584214,3136,9.67841491265971,0,0,-47,-60.2564102564103,79
"48",222822,2013,2914,45,3334,13250,14570,16075,17395,5490,1208,1,1,1,0,15,18,62,0,3,64,-13,-22.4137931034483,-43,-48.8636363636364,671,4.35601142560374,1610,11.1303145523678,434,3.38639200998752,1105,9.09839440098806,791,4.76391231028668,2000,12.9912309191296,554,3.95262557077626,1495,11.434034416826,0,0,-2,-4.25531914893617,35
"49",222831,2013,2255,46,4382,18915,27411,18915,27411,5473,1220,1,1,1,0,8,28,57,1,2,56,-1,-2.12765957446809,-4,-8,-596,-3.05468709958485,-429,-2.21774193548387,-596,-3.05468709958485,-429,-2.21774193548387,-524,-1.87578306783605,555,2.06657730116175,-524,-1.87578306783605,555,2.06657730116175,0,0,-15,-24.5901639344262,55
"50",164492,2013,400,43,4023,48146,48146,42146,42146,1143,243,0,2,1,0,8,6,71,10,2,54,-7,-14,-4,-8.51063829787234,3204,8.22762056391557,4520,12.0129697549567,3754,8.45647864480086,5216,12.150011646867,3204,8.22762056391557,4520,12.0129697549567,3754,8.45647864480086,5216,12.150011646867,0,0,-18,-29.5081967213115,69
"51",161767,2013,4124,29,3937,29319.5,35379,22885,27295,16463,2696,0,4,4,0,17,6,62,7,3,59,0,0,0,0,432,1.92401906204071,1527,7.14954583762525,429.5,1.48667358947733,1530.5,5.50757493972435,522,1.94972546968961,1947,7.68107937509863,834,2.41424229266175,2022.5,6.06328601621873,0,0,-32,-52.4590163934426,68
"52",172954,2013,1058,51,3882,29319.5,35379,22546,22546,2249,308,1,4,3,0,8,4,78,2,3,60,-4,-7.27272727272727,-8,-13.5593220338983,-4218,-15.7599760872814,-4054,-15.2406015037594,429.5,1.48667358947733,1530.5,5.50757493972435,-4218,-15.7599760872814,-4054,-15.2406015037594,834,2.41424229266175,2022.5,6.06328601621873,0,0,-2,-3.77358490566038,48
"53",172963,2013,2976,44,3767,29319.5,35379,20523,20523,9320,1292,0,4,4,0,7,4,79,2,4,61,-2,-4.34782608695652,0,0,-740,-3.48022386304849,606,3.04262690164181,429.5,1.48667358947733,1530.5,5.50757493972435,-740,-3.48022386304849,606,3.04262690164181,834,2.41424229266175,2022.5,6.06328601621873,0,0,-3,-6.38297872340426,53
"54",109350,2013,7545,69,4603,29319.5,35379,16648,21208,14262,2236,0,3,3,0,22,44,24,1,5,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
"55",197869,2013,4349,25,4112,19058,31266,20158,32366,16025,2883,0,1,1,0,3,4,86,2,2,55,1,4.16666666666667,4,19.047619047619,1289,6.83131061529493,2860,16.5337033183027,1225,6.86928727639769,3110,19.5008778530223,1449,4.68674192191998,3020,10.291010699925,1385,4.63505237441853,3270,11.6802400342906,0,0,-63,-71.5909090909091,87
"56",168786,2013,610,36,4057,38012,38012,36138,36138,1863,391,0,1,1,0,3,5,85,3,2,62,5,16.1290322580645,-2,-5.26315789473684,5936,19.6543275279783,6900,23.5994254052945,2600,7.34214390602056,3936,11.5506514849161,5936,19.6543275279783,6900,23.5994254052945,2600,7.34214390602056,3936,11.5506514849161,0,0,-39,-52,76
"57",126289,2013,4342,38,4788,29319.5,35379,18339,27237,11621,983,1,3,3,0,3,15,63,12,3,51,-9,-19.1489361702128,-18,-32.1428571428571,165,0.907890392868934,338,1.87767346258541,429.5,1.48667358947733,1530.5,5.50757493972435,668,2.51420828785427,1353,5.22716736207696,834,2.41424229266175,2022.5,6.06328601621873,0,0,-12,-24,55
"58",211088,2013,856,36,4055,51970,51970,57896,57896,2453,597,0,4,4,0,9,4,69,7,3,71,0,0,1,2.85714285714286,1296,2.28975265017668,3426,6.28970075270791,1700,3.38173861149791,3680,7.62062538827915,1296,2.28975265017668,3426,6.28970075270791,1700,3.38173861149791,3680,7.62062538827915,0,0,-40,-52.6315789473684,85
"59",367936,2013,314,76,4891,29319.5,35379,25063,25063,435,51,0,1,1,0,78,4,13,4,0,77,-7,-8.43373493975904,3,4.10958904109589,698,2.86476503180792,839,3.4635072655218,429.5,1.48667358947733,1530.5,5.50757493972435,698,2.86476503180792,839,3.4635072655218,834,2.41424229266175,2022.5,6.06328601621873,0,0,33,76.7441860465116,25
"60",456348,2013,6411,82,4992,29319.5,35379,33237,33237,8938,867,1,2,1,1,33,8,48,8,0,75,-2,-2.38095238095238,2,2.5,-3888,-10.4727272727273,-7775,-18.9578659904418,429.5,1.48667358947733,1530.5,5.50757493972435,-3888,-10.4727272727273,-7775,-18.9578659904418,834,2.41424229266175,2022.5,6.06328601621873,0,0,61,290.47619047619,29
"61",173984,2013,548,44,5188,29319.5,35379,25063,25063,1122,100,1,6,6,0,8,4,80,2,0,81,-14,-24.1379310344828,-11,-20,698,2.86476503180792,839,3.4635072655218,429.5,1.48667358947733,1530.5,5.50757493972435,698,2.86476503180792,839,3.4635072655218,834,2.41424229266175,2022.5,6.06328601621873,0,0,-2,-4.34782608695652,33
"62",448886,2013,3501,37,4323,25521,39314,24075,37868,8564,1080,2,5,4,0,6,25,56,1,3,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
"63",420574,2013,1293,27,4278,23981,36933,23759,36711,3312,409,2,6,5,0,4,18,59,1,3,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
"64",483124,2013,3468,45,4429,21542,24885,22080,25423,8227,1301,1,4,3,0,9,17,63,2,4,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72
"65",104151,2013,12365,26,4447,23837,37630,24075,37868,38730,7171,1,7,6,0,4,16,56,1,3,43,-3,-10.3448275862069,-11,-29.7297297297297,156,0.652201178979054,147,0.614343029087262,836,3.63462458153993,-1711,-6.69719743228433,696,1.87237705800065,1341,3.67125687847346,1376,3.79544326143322,-517,-1.35528350853278,0,0,-58,-69.0476190476191,84
"66",407009,2013,1622,50,4392,23117,36069,23759,36711,3249,271,2,5,5,0,6,25,56,1,3,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
"67",104160,2013,4465,80,4874,15827,21302,17758,23233,8000,1786,1,2,1,0,3,64,20,3,0,57,2,2.56410256410256,4,5.26315789473684,337,1.93444693186384,865,5.1204640975552,396,2.56626271790552,899,6.02224008574491,485,2.13205556532442,1162,5.26482714874722,544,2.62067636573851,1196,5.94847309260917,0,0,17,26.984126984127,62
"68",107327,2013,632,71,4677,29319.5,35379,21981,23381,1425,283,0,0,0,0,27,4,66,0,3,64,-3,-4.05405405405405,-2,-2.73972602739726,367,1.69797353567132,1850,9.18980676568476,429.5,1.48667358947733,1530.5,5.50757493972435,367,1.59468149821848,1850,8.59226231944638,834,2.41424229266175,2022.5,6.06328601621873,0,0,19,36.5384615384615,57
"69",107318,2013,1016,85,2631,29319.5,35379,18267,22827,1793,326,0,1,1,0,53,0,40,0,4,62,0,0,-4,-4.49438202247191,2022,12.4469067405355,-48,-0.262080262080262,429.5,1.48667358947733,1530.5,5.50757493972435,4606,25.278524779101,2412,11.8148420279206,834,2.41424229266175,2022.5,6.06328601621873,0,0,46,117.948717948718,40
"70",106449,2013,1248,55,4311,12110,13960,16314,18164,4380,839,0,1,1,0,5,4,85,0,4,57,-4,-6.77966101694915,-3,-5.17241379310345,2,0.0122609122118686,189,1.17209302325581,85,0.706860706860707,180,1.50880134115675,253,1.41253978002345,479,2.70851003675431,336,2.46623605402231,470,3.48406226834692,0,0,-4,-6.77966101694915,55
"71",106458,2013,4566,46,4267,20014,25624,30107,35717,10098,1619,0,1,1,0,14,2,74,1,2,60,-2,-4.16666666666667,-4,-8,635,2.15458740499457,1214,4.20170975668847,715,3.7048551738432,1401,7.52699725997958,815,2.33510973583176,1520,4.44483434219376,895,3.61923248008411,1707,7.13718275703475,0,0,-25,-35.2112676056338,73
"72",420538,2013,937,72,4366,29319.5,35379,14873,16361,1238,285,1,1,0,0,0,3,89,3,4,66,-7,-8.86075949367089,-1,-1.36986301369863,-7119,-32.3708621316842,-8099,-35.2559637819955,429.5,1.48667358947733,1530.5,5.50757493972435,-7431,-31.2331876260928,-8351,-33.7932988022014,834,2.41424229266175,2022.5,6.06328601621873,0,0,35,94.5945945945946,56
